fecha,turbina_vapor,turbina_gas,geotermica,solar,eolica,plantas_hidraulicas,motores_reciprocantes,importaciones_sin,exportaciones_sin,demanda_maxima_sni,subtotal_generacion_sni
09/03/2021,18651.1925,42.5,759.08,630.5,2469.07,10006.9875,22.03,3415.975,-3326.775,1731.5425,32581.36
07/03/2021,17832.235,27.5,740.9075,619.265,2306.0275,7409.8875,19.6,1515.7,-2231.96,1522.2500000000002,28955.4225
06/03/2021,19765.935,59.375,746.6475,719.875,873.215,8551.960000000001,76.59,2915.2925,-2679.015,1625.985,30793.597500000003
13/03/2021,16849.49,58.125,713.185,470.505,1837.3,9377.805,23.6,4202.2225,-2376.26,1598.7175,29330.010000000002
10/03/2021,19249.64,45.0,757.015,457.2,1906.04,10479.865,23.2,3643.2400000000002,-3563.285,1678.725,32917.96
14/03/2021,16600.38,42.5,760.1,665.05,476.945,7826.92,95.4,4134.655,-2346.67,1569.25,26467.295000000002
12/03/2021,17278.12,42.5,674.77,787.2950000000001,1774.1299999999999,12256.645,823.05,3793.6974999999998,-3833.9275,1730.135,33636.51
11/03/2021,16702.175,62.5,738.5,662.95,1762.05,12709.199999999999,720.1999999999999,3572.76,-3682.33,1738.25,33357.575
19/03/2021,17584.015,40.0,724.425,466.5,1707.605,10744.805,33.6,3556.5,-2083.655,1686.325,31300.95
17/03/2021,17431.9475,60.0,759.3050000000001,679.9,204.7525,8962.3125,1486.05,4711.01,-590.795,1746.1125,29584.267499999998
18/03/2021,17102.48,57.1,732.02,748.98,436.795,9079.765,2379.93,4934.5,-1523.03,1770.875,30537.07
20/03/2021,15660.5,45.0,780.975,524.35,2474.165,10896.03,126.4,2193.7,-2504.28,1593.325,30507.420000000002
21/03/2021,14896.75,8.125,784.665,729.95,1907.28,11054.39,24.2,1565.5,-2738.925,1509.85,29405.36
15/03/2021,17169.6,60.0,765.03,613.69,95.0025,9502.97,2233.5,4721.17,-2452.995,1744.2225,30439.7925
16/03/2021,17153.7475,51.25,758.21,486.91,97.64,9262.9,2330.12,4627.5025,-1164.135,1721.405,30140.7775
23/03/2021,19679.665,47.5,708.23,707.8100000000001,188.545,12119.43,1617.8600000000001,4105.0,-5208.835,1753.05,35069.04
22/03/2021,17713.59,45.0,741.9625,717.32,767.4675,12564.325,46.0625,3152.0,-3342.6675,1704.6825,32595.7275
24/03/2021,20632.87,57.5,730.5775,604.395,198.7875,11722.6675,823.14,3942.49,-4144.88,1773.6200000000001,34769.9375
28/03/2021,16692.465,60.0,714.035,547.405,717.795,10136.96,126.60000000000001,3324.375,-2748.09,1612.175,28995.26
27/03/2021,18797.05,60.0,699.025,696.55,442.125,9911.65,999.5,3703.25,-3236.125,1677.175,31605.899999999998
25/03/2021,20715.74,60.0,735.605,735.275,156.075,11416.26,1022.4449999999999,3858.75,-4283.275,1776.8525,34841.4
26/03/2021,19469.92,60.0,704.575,729.3,115.39,12453.515,1131.3,3832.75,-4321.25,1763.475,34664.0
29/03/2021,17716.195,97.5,691.525,689.73,1792.775,10912.795,988.5999999999999,3406.5,-3605.94,1722.875,32889.12
30/03/2021,18193.27,82.25,711.015,789.015,1789.785,11236.86,1554.405,2934.25,-4532.6,1690.625,34356.6
31/03/2021,14674.08,145.0,719.4075,784.465,1757.945,11597.5975,1778.75,3337.25,-3462.9,1607.8425,31457.245
03/04/2021,12854.13,0.0,449.69,567.3,2175.49,9075.345,19.200000000000003,1070.425,-1468.69,1384.55,25141.155
05/04/2021,15823.34,47.5,713.945,477.04999999999995,2317.05,9518.725,56.4,4142.35,-2504.885,1679.8,28954.010000000002
04/04/2021,12368.725,0.0,700.85,742.95,2462.65,9133.3,19.200000000000003,559.1,-1615.075,1388.1499999999999,25427.675
01/04/2021,13845.285,6.625,709.2775,584.42,2318.37,9015.855,40.400000000000006,3485.65,-2432.195,1499.2475,26520.2325
07/04/2021,20135.9525,57.05,711.705,484.285,203.35,10291.91,774.425,4573.5,-3245.265,1724.3000000000002,32658.677499999998
02/04/2021,13616.7525,17.25,593.7825,692.94,2007.9850000000001,8259.539999999999,92.2,2312.175,-2313.79,1386.7825,25280.45
08/04/2021,20409.3775,57.519999999999996,726.275,586.69,191.42249999999999,10331.2175,423.37,4384.5,-2690.64,1760.26,32725.872499999998
09/04/2021,19740.075,60.0,729.665,652.76,262.6375,10388.9775,830.555,4315.1525,-2517.3775,1757.325,32664.670000000002
06/04/2021,17883.13,60.0,710.605,599.135,910.33,11459.745,67.8,4311.75,-2982.025,1735.8500000000001,31690.745000000003
